mission_id,aircraft_id,source_sheet,row
P2M_1C5591B1B5E23000,808,Zip808 Strain Test Data Log,2
P2M_1C55978A26E23000,808,Zip808 Strain Test Data Log,3
P2M_1C559D9550F34000,808,Zip808 Strain Test Data Log,4
P2M_1C55B3F2B8F34000,808,Zip808 Strain Test Data Log,5
P2M_1C55B95BE9ADE000,808,Zip808 Strain Test Data Log,6
P2M_1C68DA120C849000,808,Zip808 Strain Test Data Log,7
P2M_1C68E02F79849000,808,Zip808 Strain Test Data Log,8
P2M_1C68F4BC1042E000,808,Zip808 Strain Test Data Log,9
P2M_1C6A51D0F0951000,808,Zip808 Strain Test Data Log,10
P2M_1C6B8C5C60507000,808,Zip808 Strain Test Data Log,11
P2M_1C6A4D829EEFB000,808,Zip808 Strain Test Data Log,12
P2M_1C6A43E8226FB000,808,Zip808 Strain Test Data Log,13
P2M_1C6A41747ED51000,808,Zip808 Strain Test Data Log,14
P2M_1C68FECC5E42E000,808,Zip808 Strain Test Data Log,15
P2M_1C690465E182E000,808,Zip808 Strain Test Data Log,16
P2M_1C690753A502E000,808,Zip808 Strain Test Data Log,17
P2M_1C6A170A529F0000,808,Zip808 Strain Test Data Log,18
P2M_1C6A20BDDE950000,808,Zip808 Strain Test Data Log,19
P2M_1C6A2CB7D7550000,808,Zip808 Strain Test Data Log,20
P2M_1C71ACA868503000,808,Zip808 Strain Test Data Log,21
P2M_1C71B1B0D0AAA000,808,Zip808 Strain Test Data Log,22
P2M_1C71B5767A834000,808,Zip808 Strain Test Data Log,23
P2M_1C7196017C11A000,808,Zip808 Strain Test Data Log,24
P2M_1C71A183EF235000,808,Zip808 Strain Test Data Log,25
P2M_1C71A8F2DE503000,808,Zip808 Strain Test Data Log,26
P2M_1C718AC68FE92000,808,Zip808 Strain Test Data Log,27
P2M_1C718D5EA1E92000,808,Zip808 Strain Test Data Log,28
P2M_1C7190730EA92000,808,Zip808 Strain Test Data Log,29
P2M_1C72A34B88587000,808,Zip808 Strain Test Data Log,30
P2M_1C72A605FEC16000,808,Zip808 Strain Test Data Log,31
P2M_1C72A9AE3F016000,808,Zip808 Strain Test Data Log,32
P2M_1C72ADD3675CC000,808,Zip808 Strain Test Data Log,33
P2M_1C72E45AB472B000,808,Zip808 Strain Test Data Log,34
P2M_1C72E7979E32B000,808,Zip808 Strain Test Data Log,35
P2M_1C7D58FDCFCA3000,808,Zip808 Strain Test Data Log,36
P2M_1C7D5B5F36223000,808,Zip808 Strain Test Data Log,37
P2M_1C7D5E6E0D223000,808,Zip808 Strain Test Data Log,38
P2M_1C7D77A765498000,808,Zip808 Strain Test Data Log,39
P2M_1C7D7C20B379F000,808,Zip808 Strain Test Data Log,40
P2M_1C7D9158D34BC000,808,Zip808 Strain Test Data Log,41
P2M_1C7D670650898000,808,Zip808 Strain Test Data Log,42
P2M_1C7D6E950B098000,808,Zip808 Strain Test Data Log,43
P2M_1C7D73797AB6F000,808,Zip808 Strain Test Data Log,44
P2M_1C8DFCC6109F5000,808,Zip808 Strain Test Data Log,51
P2M_1C8DFF9159FF8000,808,Zip808 Strain Test Data Log,52
P2M_1C8E02B5E21F5000,808,Zip808 Strain Test Data Log,53
P2M_1C8E060EC79F5000,808,Zip808 Strain Test Data Log,54
P2M_1C8E091EAB7F8000,808,Zip808 Strain Test Data Log,55
P2M_1C8E0FB6CB1F5000,808,Zip808 Strain Test Data Log,56
P2M_1C8E1385769F5000,808,Zip808 Strain Test Data Log,57
P2M_1C8E177DDA5F5000,808,Zip808 Strain Test Data Log,58
P2M_1C95E6446F1DC000,808,Zip808 Strain Test Data Log,65
P2M_1C95D928BCC0F000,808,Zip808 Strain Test Data Log,66
P2M_1C95839209DE6000,808,Zip808 Strain Test Data Log,67
P2M_1C9725FB192D7000,808,Zip808 Strain Test Data Log,70
P2M_1C9728F73FAD7000,808,Zip808 Strain Test Data Log,71
P2M_1C972CF3FFDB5000,808,Zip808 Strain Test Data Log,72
P2M_1C97303A53032000,808,Zip808 Strain Test Data Log,73
P2M_1C973360FDC32000,808,Zip808 Strain Test Data Log,74
P2M_1C97382E7C57A000,808,Zip808 Strain Test Data Log,75
P2M_1C974D38D3D14000,808,Zip808 Strain Test Data Log,76
P2M_1C974FE747514000,808,Zip808 Strain Test Data Log,77
P2M_1C97538F93BC7000,808,Zip808 Strain Test Data Log,78
P2M_1C983E96ABA95000,808,Zip808 Strain Test Data Log,79
P2M_1C98474CCA179000,808,Zip808 Strain Test Data Log,80
P2M_1C984AC6BB579000,808,Zip808 Strain Test Data Log,81
P2M_1C9852928F179000,808,Zip808 Strain Test Data Log,82
P2M_1C98579A536B2000,808,Zip808 Strain Test Data Log,83
P2M_1C985EF5627CB000,808,Zip808 Strain Test Data Log,84
P2M_1C986239ADBCB000,808,Zip808 Strain Test Data Log,85
P2M_1C9EE4AECEB59000,808,Zip808 Strain Test Data Log,88
P2M_1C9EE991D199B000,808,Zip808 Strain Test Data Log,89
P2M_1C9EED8966304000,808,Zip808 Strain Test Data Log,90
P2M_1C9EF8D9BD304000,808,Zip808 Strain Test Data Log,91
P2M_1C9F075BBA2AE000,808,Zip808 Strain Test Data Log,92
P2M_1C9F117367304000,808,Zip808 Strain Test Data Log,93
P2M_1CAC9379D6526000,1098,Zip1098 Strain Test Data Log,2
P2M_1CAC95BA1947B000,1098,Zip1098 Strain Test Data Log,3
P2M_1CAC9AB3BDC7B000,1098,Zip1098 Strain Test Data Log,4
P2M_1CACA90202926000,1098,Zip1098 Strain Test Data Log,5
P2M_1CACB2213ED8A000,1098,Zip1098 Strain Test Data Log,6
P2M_1CACB6096D926000,1098,Zip1098 Strain Test Data Log,7
P2M_1CACB87722926000,1098,Zip1098 Strain Test Data Log,8
P2M_1CACBB9A7DD8A000,1098,Zip1098 Strain Test Data Log,9
P2M_1CACCAA42418A000,1098,Zip1098 Strain Test Data Log,10
P2M_1CACD0BC58526000,1098,Zip1098 Strain Test Data Log,11
P2M_1CACCD061C18A000,1098,Zip1098 Strain Test Data Log,12
P2M_1CB45DE110CF8000,1098,Zip1098 Strain Test Data Log,13
P2M_1CB45FAEF14AA000,1098,Zip1098 Strain Test Data Log,14
P2M_1CB46675254F8000,1098,Zip1098 Strain Test Data Log,15
P2M_1CB480F588F5F000,1098,Zip1098 Strain Test Data Log,16
P2M_1CBC479198CED000,1098,Zip1098 Strain Test Data Log,17
P2M_1CB5D3B40C2BA000,1098,Zip1098 Strain Test Data Log,18
P2M_1CB5B540BC7D6000,1098,Zip1098 Strain Test Data Log,19
P2M_1CB5C56BD5FD6000,1098,Zip1098 Strain Test Data Log,20
P2M_1CB5CF2CCD6BA000,1098,Zip1098 Strain Test Data Log,21
P2M_1CBC4B746B5FB000,1098,Zip1098 Strain Test Data Log,24
P2M_1CBEBAC603C24000,1098,Zip1098 Strain Test Data Log,25
P2M_1CBEBFAA8FC24000,1098,Zip1098 Strain Test Data Log,26
P2M_1C5E5C91E0879000,999,Zip999 Strain Test Data Log,2
P2M_1C5E63FCCDFB2000,999,Zip999 Strain Test Data Log,3
P2M_1C5E82F14E209000,999,Zip999 Strain Test Data Log,4
P2M_1C5E8BC0C2283000,999,Zip999 Strain Test Data Log,5
P2M_1C5E8F8604E83000,999,Zip999 Strain Test Data Log,6
P2M_1C647CDF51CDD000,999,Zip999 Strain Test Data Log,7
P2M_1C6480B70C8DD000,999,Zip999 Strain Test Data Log,8
P2M_1C64861A05645000,999,Zip999 Strain Test Data Log,9
P2M_1C648BC13B7B1000,999,Zip999 Strain Test Data Log,10
P2M_1C6490A854FB1000,999,Zip999 Strain Test Data Log,11
P2M_1C6494C0DC245000,999,Zip999 Strain Test Data Log,12
P2M_1C649CEBA2BB1000,999,Zip999 Strain Test Data Log,13
